name,state_postal_abbreviation,description,latitude,longitude,egrid_subregion_abbreviation,climate_division_name
16355,PA,East Fairfield,41.562679,-80.062136,,
16360,PA,Townville,41.684627,-79.88684,RFCE,PA10
16361,PA,Tylersburg,41.391383,-79.34078,RFCE,PA10
16362,PA,Utica,41.445871,-79.96704,RFCE,PA10
16364,PA,Venus,41.369406,-79.51724,RFCE,PA10
16365,PA,Warren,41.853225,-79.15521,RFCE,PA10
16366,PA,Warren,41.811682,-79.264322,RFCE,PA10
16367,PA,Warren,41.811682,-79.264322,RFCE,PA10
16368,PA,Irvine,41.811682,-79.264322,RFCE,PA10
16369,PA,Irvine,41.811682,-79.264322,RFCE,PA10
16370,PA,West Hickory,41.569732,-79.40911,RFCE,PA10
16371,PA,Youngsville,41.860809,-79.31703,RFCE,PA10
16372,PA,Clintonville,41.199578,-79.87436,RFCE,PA10
16373,PA,Emlenton,41.195768,-79.70044,RFCE,PA10
16374,PA,Kennerdell,41.252823,-79.82675,RFCE,PA10
16375,PA,Lamartine,41.202325,-79.453751,RFCE,PA10
16388,PA,Meadville,41.659552,-80.157553,RFCE,PA10
16401,PA,Albion,41.883648,-80.37687,RFCE,PA10
16402,PA,Bear Lake,41.972884,-79.478,RFCE,PA10
16403,PA,Cambridge Springs,41.79637,-80.02524,RFCE,PA10
16404,PA,Centerville,41.727069,-79.78908,RFCE,PA10
16405,PA,Columbus,41.94208,-79.54534,RFCE,PA10
16406,PA,Conneautville,41.746056,-80.35888,RFCE,PA10
16407,PA,Corry,41.919028,-79.65224,RFCE,PA10
16410,PA,Cranesville,41.922138,-80.32884,RFCE,PA10
16411,PA,East Springfield,41.981289,-80.44277,RFCE,PA10
16412,PA,Edinboro,41.875896,-80.15129,RFCE,PA10
16413,PA,Elgin,42.182748,-80.064915,RFCE,PA10
16414,PA,Bloomfield,41.785249,-79.787096,,
16415,PA,Fairview,42.035523,-80.23526,RFCE,PA10
16416,PA,Garland,41.81426,-79.44777,RFCE,PA10
16417,PA,Girard,41.979,-80.3098,RFCE,PA10
16420,PA,Grand Valley,41.700333,-79.54788,RFCE,PA10
16421,PA,Harborcreek,42.169106,-79.9409,RFCE,PA10
16422,PA,Harmonsburg,41.661068,-80.31618,RFCE,PA10
16423,PA,Lake City,42.019394,-80.34064,RFCE,PA10
16424,PA,Linesville,41.63471,-80.43671,RFCE,PA10
16426,PA,McKean,41.992528,-80.14448,RFCE,PA10
16427,PA,Mill Village,41.87504,-79.96986,RFCE,PA10
16428,PA,North East,42.195488,-79.83296,RFCE,PA10
16430,PA,North Springfield,41.999881,-80.42585,RFCE,PA10
16432,PA,Riceville,41.666057,-80.065793,RFCE,PA10
16433,PA,Saegertown,41.732434,-80.14613,RFCE,PA10
16434,PA,Spartansburg,41.803172,-79.68296,RFCE,PA10
16435,PA,Springboro,41.817144,-80.38568,RFCE,PA10
16436,PA,Spring Creek,41.860822,-79.51047,RFCE,PA10
16438,PA,Union City,41.87487,-79.843,RFCE,PA10
16440,PA,Venango,41.774575,-80.1145,RFCE,PA10
16441,PA,Waterford,41.93958,-79.98542,RFCE,PA10
16442,PA,Wattsburg,42.029506,-79.82547,RFCE,PA10
16443,PA,West Springfield,41.942171,-80.48002,RFCE,PA10
16444,PA,Edinboro,42.182748,-80.064915,RFCE,PA10
16475,PA,Albion,42.182748,-80.064915,RFCE,PA10
16501,PA,Erie,42.122957,-80.08437,RFCE,PA10
16502,PA,Erie,42.110757,-80.10024,RFCE,PA10
16503,PA,Erie,42.127807,-80.06351,RFCE,PA10
16504,PA,Erie,42.110156,-80.05187,RFCE,PA10
16505,PA,Erie,42.100307,-80.15552,RFCE,PA10
16506,PA,Erie,42.072606,-80.14541,RFCE,PA10
16507,PA,Erie,42.132707,-80.08452,RFCE,PA10
16508,PA,Erie,42.097856,-80.09147,RFCE,PA10
16509,PA,Erie,42.074056,-80.06927,RFCE,PA10
16510,PA,Erie,42.126956,-80.0004,RFCE,PA10
16511,PA,Erie,42.156157,-80.01686,RFCE,PA10
16512,PA,Erie,42.030201,-80.257855,RFCE,PA10
16514,PA,Erie,42.182748,-80.064915,RFCE,PA10
16515,PA,Erie,42.182748,-80.064915,RFCE,PA10
16522,PA,Erie,42.182748,-80.064915,RFCE,PA10
16530,PA,Erie,42.182748,-80.064915,RFCE,PA10
16531,PA,Erie,42.182748,-80.064915,RFCE,PA10
16532,PA,Erie,42.182748,-80.064915,,PA10
16533,PA,Erie,42.182748,-80.064915,,PA10
16534,PA,Erie,42.182748,-80.064915,RFCE,PA10
16538,PA,Erie,42.182748,-80.064915,RFCE,PA10
16541,PA,Erie,42.182748,-80.064915,RFCE,PA10
16544,PA,Erie,42.182748,-80.064915,RFCE,PA10
16546,PA,Erie,42.182748,-80.064915,RFCE,PA10
16550,PA,Erie,42.182748,-80.064915,RFCE,PA10
16553,PA,Erie,42.182748,-80.064915,RFCE,PA10
16554,PA,Erie,42.182748,-80.064915,,PA10
16558,PA,Erie,42.182748,-80.064915,,
16563,PA,Erie,42.182748,-80.064915,RFCE,PA10
16565,PA,Erie,42.182748,-80.064915,RFCE,PA10
16601,PA,Altoona,40.526319,-78.40082,RFCE,PA8
16602,PA,Altoona,40.50217,-78.39121,RFCE,PA8
16603,PA,Altoona,40.50177,-78.410035,RFCE,PA8
16611,PA,Alexandria,40.561651,-78.10583,RFCE,PA8
16613,PA,Ashville,40.554187,-78.5406,RFCE,PA8
16614,PA,Bakers Summit,40.262311,-78.421434,,
16616,PA,Beccaria,40.770522,-78.44099,RFCE,PA7
16617,PA,Bellwood,40.601566,-78.33361,RFCE,PA8
16619,PA,Blandburg,40.684811,-78.41481,RFCE,PA8
16620,PA,Brisbin,40.8376,-78.3527,RFCE,PA7
16621,PA,Broad Top,40.211299,-78.13,RFCE,PA8
16622,PA,Calvin,40.336064,-78.06665,RFCE,PA8
16623,PA,Cassville,40.274021,-78.04002,RFCE,PA8
16624,PA,Chest Springs,40.578804,-78.6098,RFCE,PA8
16625,PA,Claysburg,40.290914,-78.48646,RFCE,PA8
16627,PA,Coalport,40.753504,-78.52097,RFCE,PA7
16629,PA,Coupon,40.521778,-78.526274,RFCE,PA8
16630,PA,Cresson,40.464754,-78.5885,RFCE,PA8
16631,PA,Curryville,40.282346,-78.34748,RFCE,PA8
16633,PA,Defiance,40.160858,-78.23205,RFCE,PA8
16634,PA,Dudley,40.205819,-78.17565,RFCE,PA8
16635,PA,Duncansville,40.419572,-78.44934,RFCE,PA8
16636,PA,Dysart,40.612642,-78.51947,RFCE,PA8
16637,PA,East Freedom,40.34068,-78.43301,RFCE,PA8
16638,PA,Entriken,40.335188,-78.20534,RFCE,PA8
16639,PA,Fallentimber,40.687083,-78.47615,RFCE,PA8
16640,PA,Flinton,40.711195,-78.56081,RFCE,PA8
16641,PA,Gallitzin,40.487413,-78.55617,RFCE,PA8
16644,PA,Glasgow,40.717845,-78.463679,RFCE,PA8
16645,PA,Glen Hope,40.798959,-78.50032,RFCE,PA7
16646,PA,Hastings,40.670162,-78.70932,RFCE,PA8
16647,PA,Hesston,40.40537,-78.10103,RFCE,PA8
16648,PA,Hollidaysburg,40.439272,-78.37421,RFCE,PA8
16650,PA,Hopewell,40.132345,-78.26845,RFCE,PA8
16651,PA,Houtzdale,40.827635,-78.36046,RFCE,PA7
16652,PA,Huntingdon,40.498403,-77.99417,RFCE,PA8
16654,PA,Huntingdon,40.402523,-77.966977,RFCE,PA8
16655,PA,Imler,40.235,-78.53545,RFCE,PA8
16656,PA,Irvona,40.792727,-78.5578,RFCE,PA7
16657,PA,James Creek,40.341859,-78.1723,RFCE,PA8
16659,PA,Loysburg,40.16478,-78.37709,RFCE,PA8
16660,PA,McConnellstown,40.402523,-77.966977,RFCE,PA8
16661,PA,Madera,40.841761,-78.46167,RFCE,PA7
16662,PA,Martinsburg,40.306709,-78.31987,RFCE,PA8
16663,PA,Morann,40.789079,-78.375,RFCE,PA7
16664,PA,New Enterprise,40.174807,-78.41772,RFCE,PA8
16665,PA,Newry,40.393223,-78.43508,RFCE,PA8
16666,PA,Osceola Mills,40.85258,-78.28335,RFCE,PA7
16667,PA,Osterburg,40.173012,-78.52762,RFCE,PA8
16668,PA,Patton,40.63949,-78.63816,RFCE,PA8
16669,PA,Petersburg,40.627047,-77.96449,RFCE,PA8
16670,PA,Queen,40.25915,-78.50652,RFCE,PA8
16671,PA,Ramey,40.800186,-78.4013,RFCE,PA7
16672,PA,Riddlesburg,40.160825,-78.25489,RFCE,PA8
16673,PA,Roaring Spring,40.328843,-78.39897,RFCE,PA8
16674,PA,Robertsdale,40.196898,-78.10266,RFCE,PA8
16675,PA,Saint Boniface,40.671181,-78.675548,RFCE,PA8
16677,PA,Sandy Ridge,40.807219,-78.26071,RFCE,PA7
16678,PA,Saxton,40.221352,-78.22785,RFCE,PA8
16679,PA,Six Mile Run,40.163172,-78.20555,RFCE,PA8
16680,PA,Smithmill,40.75212,-78.41085,RFCE,PA7
16681,PA,Smokerun,40.792825,-78.43559,RFCE,PA7
16682,PA,Sproul,40.271645,-78.45919,RFCE,PA8
16683,PA,Spruce Creek,40.662087,-78.07012,RFCE,PA8
16684,PA,Tipton,40.636691,-78.303614,RFCE,PA8
16685,PA,Todd,40.273559,-78.07926,RFCE,PA8
16686,PA,Tyrone,40.666444,-78.24353,RFCE,PA8
16689,PA,Waterfall,40.092488,-78.08406,RFCE,PA8
16691,PA,Wells Tannery,40.080393,-78.15342,RFCW,PA8
16692,PA,Westover,40.757085,-78.69622,RFCE,PA7
16693,PA,Williamsburg,40.456531,-78.2221,RFCE,PA8
16694,PA,Wood,40.167018,-78.13583,RFCE,PA8
16695,PA,Woodbury,40.217753,-78.37197,RFCE,PA8
16698,PA,Houtzdale,40.989115,-78.422403,RFCE,PA7
16699,PA,Cresson,40.484487,-78.702224,RFCE,PA8
16701,PA,Bradford,41.943791,-78.65448,RFCE,PA10
16720,PA,Austin,41.613244,-78.07011,RFCW,PA10
16724,PA,Crosby,41.747898,-78.37938,RFCW,PA10
16725,PA,Custer City,41.902256,-78.659,RFCE,PA10
16726,PA,Cyclone,41.816833,-78.58059,RFCE,PA10
16727,PA,Derrick City,41.976763,-78.53541,RFCE,PA10
16728,PA,De Young,41.415878,-78.665057,RFCW,PA7
16729,PA,Duke Center,41.96192,-78.4841,RFCE,PA10
16730,PA,East Smethport,41.811926,-78.42256,RFCE,PA10
16731,PA,Eldred,41.957479,-78.39317,RFCE,PA10
16732,PA,Gifford,41.850657,-78.60663,RFCE,PA10
16733,PA,Hazel Hurst,41.713565,-78.56703,RFCE,PA10
16734,PA,James City,41.619029,-78.84,RFCW,PA7
16735,PA,Kane,41.628726,-78.80734,RFCW,PA10
16738,PA,Lewis Run,41.833762,-78.68839,RFCE,PA10
16740,PA,Mount Jewett,41.734498,-78.61379,RFCW,PA10
16743,PA,Port Allegany,41.809546,-78.27125,RFCE,PA10
16744,PA,Rew,41.883626,-78.5454,RFCE,PA10
16745,PA,Rixford,41.925564,-78.50206,RFCE,PA10
16746,PA,Roulette,41.800699,-78.14362,RFCE,PA10
16748,PA,Shinglehouse,41.940288,-78.16186,RFCE,PA10
16749,PA,Smethport,41.801302,-78.44419,RFCE,PA10
16750,PA,Turtlepoint,41.876559,-78.32445,RFCE,PA10
16751,PA,Westline,41.791063,-78.76347,,
16801,PA,State College,40.792011,-77.84993,RFCW,PA7
16802,PA,University Park,40.806956,-77.86281,RFCW,PA7
16803,PA,State College,40.802661,-77.89936,RFCW,PA7
16804,PA,State College,40.972229,-77.760172,RFCW,PA7
16805,PA,State College,40.972229,-77.760172,RFCW,PA7
16815,PA,Potter,40.771122,-77.658267,,
16820,PA,Aaronsburg,40.908997,-77.42424,RFCW,PA7
16821,PA,Allport,40.989115,-78.422403,RFCE,PA7
16822,PA,Beech Creek,41.092339,-77.60545,RFCW,PA7
16823,PA,Bellefonte,40.91255,-77.77387,RFCW,PA7
16825,PA,Bigler,40.98169,-78.30514,RFCE,PA7
16826,PA,Blanchard,41.059172,-77.60029,RFCW,PA7
16827,PA,Boalsburg,40.78267,-77.78689,RFCW,PA7
16828,PA,Centre Hall,40.828679,-77.6849,RFCW,PA7
16829,PA,Clarence,41.053528,-77.96226,RFCE,PA7
16830,PA,Clearfield,41.026239,-78.43838,RFCE,PA7
16832,PA,Coburn,40.847255,-77.47633,RFCW,PA7
16833,PA,Curwensville,40.948433,-78.55176,RFCE,PA7
16834,PA,Drifting,41.033239,-78.1104,RFCE,PA7
16835,PA,Fleming,40.904645,-77.875191,RFCW,PA7
16836,PA,Frenchville,41.104737,-78.2344,RFCE,PA7
16837,PA,Glen Richey,40.945702,-78.4745,RFCE,PA7
16838,PA,Grampian,40.977104,-78.62296,RFCE,PA7
16839,PA,Grassflat,41.004152,-78.11298,RFCE,PA7
16840,PA,Hawk Run,40.924438,-78.20652,RFCE,PA7
16841,PA,Howard,41.021843,-77.66909,RFCW,PA7
16843,PA,Hyde,41.001993,-78.46381,RFCE,PA7
16844,PA,Julian,40.896662,-77.91555,RFCW,PA7
16845,PA,Karthaus,41.131415,-78.10643,RFCE,PA7
16847,PA,Kylertown,40.994188,-78.16804,RFCE,PA7
16848,PA,Lamar,41.010409,-77.53613,RFCW,PA7
16849,PA,Lanse,40.972358,-78.12121,RFCE,PA7
16850,PA,Lecontes Mills,40.989115,-78.422403,RFCE,PA7
16851,PA,Lemont,40.809461,-77.81584,RFCW,PA7
16852,PA,Madisonburg,40.92744,-77.52998,RFCW,PA7
16853,PA,Milesburg,40.942533,-77.7892,RFCW,PA7
16854,PA,Millheim,40.891594,-77.47605,RFCW,PA7
16855,PA,Mineral Springs,40.998733,-78.37324,RFCE,PA7
16856,PA,Mingoville,40.929263,-77.64581,RFCW,PA7
16858,PA,Morrisdale,41.004198,-78.19085,RFCE,PA7
16859,PA,Moshannon,41.0448,-78.024,RFCE,PA7
16860,PA,Munson,40.954583,-78.1668,RFCE,PA7
16861,PA,New Millport,40.87713,-78.53394,RFCE,PA7
16863,PA,Olanta,40.914286,-78.48998,RFCE,PA7
16864,PA,Orviston,41.105537,-77.75273,RFCW,PA7
16865,PA,Pennsylvania Furnace,40.722897,-77.96941,RFCW,PA7
16866,PA,Philipsburg,40.893028,-78.21678,RFCE,PA7
16868,PA,Pine Grove Mills,40.726405,-77.911776,RFCW,PA7
16870,PA,Port Matilda,40.801396,-78.045,RFCW,PA7
16871,PA,Pottersdale,41.177156,-78.04399,RFCW,PA7
16872,PA,Rebersburg,40.966199,-77.35299,RFCW,PA7
16873,PA,Shawville,40.989115,-78.422403,RFCE,PA7
16874,PA,Snow Shoe,41.034029,-77.93356,RFCE,PA7
16875,PA,Spring Mills,40.833229,-77.57458,RFCW,PA7
16876,PA,Wallaceton,40.960106,-78.28886,RFCE,PA7
16877,PA,Warriors Mark,40.721787,-78.08561,RFCE,PA8
16878,PA,West Decatur,40.943755,-78.30853,RFCE,PA7
16879,PA,Winburne,40.962566,-78.15005,RFCE,PA7
16881,PA,Woodland,41.018168,-78.32112,RFCE,PA7
16882,PA,Woodward,40.918517,-77.32269,RFCW,PA7
16901,PA,Wellsboro,41.736343,-77.31915,RFCE,PA6
16910,PA,Alba,41.77197,-76.521266,RFCE,PA6
16911,PA,Arnot,41.664117,-77.14153,RFCE,PA6
16912,PA,Blossburg,41.676922,-77.0616,RFCE,PA6
16914,PA,Columbia Cross Roads,41.86401,-76.76982,RFCE,PA6
16915,PA,Coudersport,41.800278,-77.98905,RFCE,PA10
16917,PA,Covington,41.739613,-77.07521,RFCE,PA6
16918,PA,Cowanesque,41.936663,-77.49843,,PA6
16920,PA,Elkland,41.989863,-77.31123,RFCE,PA6
16921,PA,Gaines,41.74103,-77.53768,RFCE,PA6
16922,PA,Galeton,41.678935,-77.68562,RFCE,PA10
16923,PA,Genesee,41.93668,-77.87089,RFCE,PA10
16925,PA,Gillett,41.950785,-76.78511,RFCE,PA6
16926,PA,Granville Summit,41.702935,-76.71175,RFCE,PA6
16927,PA,Harrison Valley,41.958059,-77.67187,RFCE,PA10
16928,PA,Knoxville,41.954314,-77.42457,RFCE,PA6
16929,PA,Lawrenceville,41.973095,-77.13731,RFCE,PA6
16930,PA,Liberty,41.557848,-77.13755,RFCE,PA5
16932,PA,Mainesburg,41.796032,-76.94145,RFCE,PA6
16933,PA,Mansfield,41.811139,-77.06939,RFCE,PA6
16935,PA,Middlebury Center,41.86292,-77.31285,RFCE,PA6
16936,PA,Millerton,41.951518,-76.94413,RFCE,PA6
16937,PA,Mills,41.969218,-77.71978,RFCE,PA10
16938,PA,Morris,41.564177,-77.31191,RFCE,PA5
16939,PA,Morris Run,41.677577,-77.01677,RFCE,PA6
16940,PA,Nelson,41.978436,-77.24667,RFCE,PA6
16941,PA,Genesee,41.993777,-77.75122,RFCE,PA10
16942,PA,Osceola,41.961001,-77.35306,RFCE,PA6
16943,PA,Sabinsville,41.84992,-77.59404,RFCE,PA10
16945,PA,Sylvania,41.77197,-76.521266,RFCE,PA6
16946,PA,Tioga,41.924013,-77.14224,RFCE,PA6
16947,PA,Troy,41.759353,-76.80388,RFCE,PA6
16948,PA,Ulysses,41.869812,-77.75115,RFCE,PA10
16950,PA,Westfield,41.895838,-77.52164,RFCE,PA6
17001,PA,Camp Hill,40.21604,-76.924996,RFCE,PA4
17002,PA,Allensville,40.510176,-77.83124,RFCE,PA5
17003,PA,Annville,40.347757,-76.53498,RFCE,PA3
17004,PA,Belleville,40.597698,-77.73883,RFCE,PA5
17005,PA,Berrysburg,40.602475,-76.8113,RFCE,PA5
17006,PA,Blain,40.325136,-77.52681,RFCE,PA5
17007,PA,Boiling Springs,40.14789,-77.12245,RFCE,PA4
17008,PA,Bowmansdale,40.167091,-76.978448,,PA4
17009,PA,Burnham,40.637663,-77.56552,RFCE,PA5
17010,PA,Campbelltown,40.280149,-76.5806,RFCE,PA3
17011,PA,Camp Hill,40.236139,-76.93084,RFCE,PA4
17012,PA,Camp Hill,40.136687,-77.242805,RFCE,PA4
17013,PA,Carlisle,40.203458,-77.19987,RFCE,PA4
17014,PA,Cocolamus,40.478716,-77.345514,RFCE,PA5
17015,PA,South Londonderry,40.238207,-76.511942,RFCE,PA4
17016,PA,Cornwall,40.273968,-76.40602,RFCE,PA3
17017,PA,Dalmatia,40.644085,-76.87648,RFCE,PA5
17018,PA,Dauphin,40.385623,-76.92332,RFCE,PA5
17019,PA,Dillsburg,40.093968,-77.02628,RFCE,PA4
17020,PA,Duncannon,40.401114,-77.03405,RFCE,PA5
17021,PA,East Waterford,40.354433,-77.65046,RFCE,PA5
17022,PA,Elizabethtown,40.160793,-76.60763,RFCE,PA3
17023,PA,Elizabethville,40.560414,-76.81316,RFCE,PA5
17024,PA,Elliottsburg,40.413024,-77.30162,RFCE,PA5
17025,PA,Enola,40.28807,-76.94251,RFCE,PA4
17026,PA,Fredericksburg,40.45253,-76.42443,RFCE,PA3
17027,PA,Grantham,40.153656,-76.9963,RFCE,PA4
17028,PA,Grantville,40.402578,-76.6434,RFCE,PA3
17029,PA,Granville,40.551431,-77.62577,RFCE,PA5
17030,PA,Gratz,40.608245,-76.737545,RFCE,PA5
17031,PA,Green Park,40.406766,-77.292578,,
17032,PA,Halifax,40.48358,-76.8727,RFCE,PA5
17033,PA,Hershey,40.277923,-76.6434,RFCE,PA3
17034,PA,Highspire,40.208591,-76.78563,RFCE,PA3
17035,PA,Honey Grove,40.4305,-77.5843,RFCE,PA5
17036,PA,Hummelstown,40.270367,-76.7048,RFCE,PA3
17037,PA,Ickesburg,40.436607,-77.39337,RFCE,PA5
17038,PA,Jonestown,40.434998,-76.51296,RFCE,PA3
17039,PA,Kleinfeltersville,40.300505,-76.258399,RFCE,PA3
17040,PA,Landisburg,40.333508,-77.29933,RFCE,PA5
17041,PA,Lawn,40.220907,-76.53769,RFCE,PA3
17042,PA,Lebanon,40.31977,-76.42344,RFCE,PA3
17043,PA,Lemoyne,40.247189,-76.89807,RFCE,PA4
17044,PA,Lewistown,40.595359,-77.5774,RFCE,PA5
17045,PA,Liverpool,40.586914,-76.99402,RFCE,PA5
17046,PA,Lebanon,40.358015,-76.42501,RFCE,PA3
17047,PA,Loysville,40.365242,-77.40369,RFCE,PA5
17048,PA,Lykens,40.592398,-76.72086,RFCE,PA5
17049,PA,McAlisterville,40.64686,-77.24149,RFCE,PA5
17050,PA,Mechanicsburg,40.249543,-77.002296,RFCE,PA4
17051,PA,McVeytown,40.458618,-77.77254,RFCE,PA5
17052,PA,Mapleton Depot,40.338058,-77.9779,RFCE,PA8
17053,PA,Marysville,40.333185,-76.96659,RFCE,PA5
17054,PA,Mattawana,40.495979,-77.723716,RFCE,PA5
17055,PA,Mechanicsburg,40.215939,-76.99827,RFCE,PA4
17056,PA,Mexico,40.478716,-77.345514,RFCE,PA5
17057,PA,Middletown,40.201341,-76.73557,RFCE,PA3
17058,PA,Mifflin,40.53526,-77.46457,RFCE,PA5
17059,PA,Mifflintown,40.582815,-77.36866,RFCE,PA5
17060,PA,Mill Creek,40.453498,-77.91154,RFCE,PA8
17061,PA,Millersburg,40.550027,-76.93743,RFCE,PA5
17062,PA,Millerstown,40.5565,-77.14962,RFCE,PA5
17063,PA,Milroy,40.735551,-77.54813,RFCE,PA5
17064,PA,Mount Gretna,40.24793,-76.46847,RFCE,PA3
17065,PA,Mount Holly Springs,40.114682,-77.19201,RFCE,PA4
17066,PA,Mount Union,40.373421,-77.8739,RFCE,PA8
17067,PA,Myerstown,40.389502,-76.3147,RFCE,PA3
17068,PA,New Bloomfield,40.409544,-77.17959,RFCE,PA5
17069,PA,New Buffalo,40.454175,-76.96991,RFCE,PA5
17070,PA,New Cumberland,40.22004,-76.86849,RFCE,PA4
17071,PA,New Germantown,40.406766,-77.292578,RFCE,PA5
17072,PA,New Kingstown,40.233164,-77.08212,RFCE,PA4
17073,PA,Newmanstown,40.308675,-76.24974,RFCE,PA3
17074,PA,Newport,40.482257,-77.13907,RFCE,PA5
17075,PA,Newton Hamilton,40.39213,-77.83649,RFCE,PA5
17076,PA,Oakland Mills,40.616926,-77.31228,RFCE,PA5
17077,PA,Ono,40.406144,-76.52753,RFCE,PA3
17078,PA,Palmyra,40.304156,-76.5912,RFCE,PA3
17080,PA,Pillow,40.64043,-76.80346,RFCE,PA5
17081,PA,Plainfield,40.202404,-77.28825,RFCE,PA4
17082,PA,Port Royal,40.508563,-77.42137,RFCE,PA5
17083,PA,Quentin,40.277603,-76.43823,RFCE,PA3
17084,PA,Reedsville,40.67845,-77.60264,RFCE,PA5
17085,PA,Rexmont,40.277076,-76.385727,RFCE,PA3
17086,PA,Richfield,40.675983,-77.11862,RFCE,PA5
17087,PA,Richland,40.375621,-76.26401,RFCE,PA3
17088,PA,Schaefferstown,40.299051,-76.29673,RFCE,PA3
17089,PA,Camp Hill,40.269738,-76.936046,RFCE,PA4
17090,PA,Shermans Dale,40.332785,-77.18464,RFCE,PA5
17091,PA,Camp Hill,40.136687,-77.242805,,PA4
17093,PA,Summerdale,40.310088,-76.9287,RFCE,PA4
17094,PA,Thompsontown,40.574018,-77.23385,RFCE,PA5
17097,PA,Wiconisco,40.573636,-76.68525,RFCE,PA5
17098,PA,Williamstown,40.581422,-76.62209,RFCE,PA5
17099,PA,Yeagertown,40.641204,-77.57953,RFCE,PA5
17101,PA,Harrisburg,40.261839,-76.88279,RFCE,PA3
17102,PA,Harrisburg,40.272839,-76.89053,RFCE,PA3
17103,PA,Harrisburg,40.274389,-76.86217,RFCE,PA3
17104,PA,Harrisburg,40.258972,-76.85922,RFCE,PA3
17105,PA,Harrisburg,40.278498,-76.875207,RFCE,PA3
17106,PA,Harrisburg,40.292664,-76.850061,RFCE,PA3
17107,PA,Harrisburg,40.297031,-76.876437,RFCE,PA3
17108,PA,Harrisburg,40.308638,-76.801693,RFCE,PA3
17109,PA,Harrisburg,40.290439,-76.82841,RFCE,PA3
17110,PA,Harrisburg,40.300738,-76.88528,RFCE,PA3
17111,PA,Harrisburg,40.264389,-76.80298,RFCE,PA3
17112,PA,Harrisburg,40.343261,-76.7808,RFCE,PA3
17113,PA,Harrisburg,40.23299,-76.82579,RFCE,PA3
17120,PA,Harrisburg,40.265689,-76.882745,RFCE,PA3
17121,PA,Harrisburg,40.294396,-76.893751,RFCE,PA3
17122,PA,Harrisburg,40.249845,-76.871209,RFCE,PA3
17123,PA,Harrisburg,40.267518,-76.883734,RFCE,PA3
17124,PA,Harrisburg,40.26746,-76.885967,RFCE,PA3
17125,PA,Harrisburg,40.266221,-76.882854,RFCE,PA3
17126,PA,Harrisburg,40.26179,-76.880021,RFCE,PA3
17127,PA,Harrisburg,40.261516,-76.880884,RFCE,PA3
17128,PA,Harrisburg,40.389865,-76.782323,RFCE,PA3
17129,PA,Harrisburg,40.261516,-76.880884,RFCE,PA3
17130,PA,Harrisburg,40.270222,-76.882889,RFCE,PA3
17140,PA,Harrisburg,40.30864,-76.846449,RFCE,PA3
17177,PA,Harrisburg,40.298988,-76.847194,RFCE,PA3
17201,PA,Chambersburg,39.931123,-77.66139,RFCW,PA4
17202,PA,,,,RFCW,
17210,PA,Amberson,40.171667,-77.661354,RFCE,PA4
17211,PA,Artemas,39.742192,-78.42113,RFCW,PA8
17212,PA,Big Cove Tannery,39.81231,-78.06337,RFCW,PA8
17213,PA,Blairs Mills,40.243335,-77.77414,RFCE,PA8
17214,PA,Blue Ridge Summit,39.736626,-77.47038,RFCW,PA4
17215,PA,Burnt Cabins,40.079326,-77.90039,RFCE,PA8
17217,PA,Concord,40.225168,-77.725013,RFCE,PA4
17219,PA,Doylesburg,40.228687,-77.71034,RFCE,PA4
17220,PA,Dry Run,40.195365,-77.72092,RFCE,PA4
17221,PA,Fannettsburg,40.0724,-77.81148,RFCE,PA4
17222,PA,Fayetteville,39.897287,-77.52006,RFCW,PA4
17223,PA,Fort Littleton,40.062255,-77.96308,RFCE,PA8
17224,PA,Fort Loudon,39.957564,-77.90623,RFCE,PA4
17225,PA,Greencastle,39.792122,-77.74923,RFCW,PA4
17228,PA,Harrisonville,39.995374,-78.09348,RFCE,PA8
17229,PA,Hustontown,40.070337,-78.02273,RFCE,PA8
17231,PA,Lemasters,39.859432,-77.857889,RFCW,PA4
17232,PA,Lurgan,40.105495,-77.640461,RFCE,PA4
17233,PA,McConnellsburg,39.942589,-77.99529,RFCW,PA8
17235,PA,Marion,39.857218,-77.69775,RFCW,PA4
17236,PA,Mercersburg,39.793293,-77.92889,RFCW,PA4
17237,PA,Mont Alto,39.840491,-77.55239,RFCW,PA4
17238,PA,Needmore,39.847933,-78.12821,RFCW,PA8
17239,PA,Neelyton,40.130231,-77.84147,RFCE,PA8
17240,PA,Newburg,40.147267,-77.57259,RFCE,PA4
17241,PA,Newville,40.172412,-77.40826,RFCE,PA4
17243,PA,Orbisonia,40.242121,-77.87139,RFCE,PA8
17244,PA,Orrstown,40.076657,-77.65433,RFCE,PA4
17246,PA,Pleasant Hall,40.049118,-77.671754,RFCE,PA4
17247,PA,Quincy,39.799481,-77.581092,RFCW,PA4
17249,PA,Rockhill Furnace,40.242927,-77.90043,RFCE,PA8
17250,PA,Rouzerville,39.736395,-77.52474,RFCW,PA4
17251,PA,Roxbury,40.112652,-77.670626,RFCE,PA4
17252,PA,Saint Thomas,39.913537,-77.81001,RFCW,PA4
17253,PA,Saltillo,40.210859,-78.00567,RFCE,PA8
17254,PA,Scotland,39.969722,-77.58878,RFCW,PA4
17255,PA,Shade Gap,40.152486,-77.8617,RFCE,PA8
17256,PA,Shady Grove,39.783391,-77.674851,RFCW,PA4
17257,PA,Shippensburg,40.053308,-77.50622,RFCE,PA4
17260,PA,Shirleysburg,40.298547,-77.89067,RFCE,PA8
17261,PA,South Mountain,39.833095,-77.488633,RFCW,PA4
